1   1.00794
2   4.002602
3   6.941
4   9.012182
5   10.811
6   12.0107
7   14.0067
8   15.9994
9   18.9984032
10  20.1797
11  22.98976928
12  24.3050
13  26.9815386
14  28.0855
15  30.973762
16  32.065
17  35.453
18  39.948
19  39.0983
20  40.078
21  44.955912
22  47.867
23  50.9415
24  51.9961
25  54.938045
26  55.845
27  58.933195
28  58.6934
29  63.546
30  65.38
31  69.723
32  72.64
33  74.92160
34  78.96
35  79.904
36  83.798
37  85.4678
38  87.62
39  88.90585
40  91.224
41  92.90638
42  95.96
43  98
44  101.07
45  102.90550
46  106.42
47  107.8682
48  112.411
49  114.818
50  118.710
51  121.760
52  127.60
53  126.90447
54  131.293
55  132.9054519
56  137.327
57  138.90547
58  140.116
59  140.90765
60  144.242
61  145
62  150.36
63  151.964
64  157.25
65  158.92535
66  162.500
67  164.93032
68  167.259
69  168.93421
70  173.054
71  174.9668
72  178.49
73  180.94788
74  183.84
75  186.207
76  190.23
77  192.217
78  195.084
79  196.966569
80  200.59
81  204.3833
82  207.2
83  208.98040
84  209
85  210
86  222
87  223
88  226
89  887
90  232.03806
91  231.03588
92  238.02891
93  237
94  244
95  243
96  247
97  247
98  251
99  252
100 257
101 258
102 259
103 262
104 265
105 268
106 271
107 272
108 270
109 276
110 281
111 280
112 285
113 284
114 289
115 288
116 293
117 292
118 294



